Disease Name,Type of Disease,Symptoms,Doctor,Remedies
Flu,Chronic,"High blood sugar, Fatigue, Joint pain",Cardiologist,Inhaler
Flu,Chronic,"Headache, Rash",Pediatrician,Antihistamines
Hypertension,Infectious,"Headache, Runny nose, Cough",Dermatologist,Paracetamol
Asthma,Viral,"Fever, High blood sugar",Endocrinologist,Fluids
Arthritis,Bacterial,"Runny nose, High blood sugar",Pulmonologist,Inhaler
Chickenpox,Chronic,"Runny nose, Rash, Vomiting, Headache",Endocrinologist,Rest
Hypertension,Chronic,"Headache, Cough, Dizziness, Runny nose",Dermatologist,Inhaler
Malaria,Genetic,"Cough, High blood sugar, Vomiting",Neurologist,"Paracetamol, Antihistamines"
Arthritis,Bacterial,"Rash, Shortness of breath, Fatigue",Dermatologist,Rest
Chickenpox,Lifestyle,"Headache, Runny nose, High blood sugar, Rash",Pediatrician,"Paracetamol, Fluids"
Flu,Bacterial,"Runny nose, Shortness of breath",Neurologist,Paracetamol
Malaria,Viral,"Shortness of breath, Fatigue",Gastroenterologist,"Rest, Antibiotics"
Cold,Acute,"Headache, Shortness of breath, High blood sugar",Gastroenterologist,Inhaler
Typhoid,Autoimmune,"Shortness of breath, High blood sugar, Cough, Joint pain",Endocrinologist,"Lifestyle changes, Inhaler"
Chickenpox,Infectious,"High blood sugar, Fever, Rash, Fatigue",Pulmonologist,Paracetamol
Arthritis,Lifestyle,"Fever, Cough, High blood sugar",Pediatrician,"Antibiotics, Paracetamol"
Hypertension,Chronic,"Rash, Runny nose, Dizziness",Orthopedist,"Paracetamol, Antihistamines"
Asthma,Genetic,"Vomiting, Cough",Orthopedist,Fluids
Cold,Viral,"Fever, Vomiting, Headache",Neurologist,"Paracetamol, Insulin"
Typhoid,Genetic,"Fatigue, High blood sugar",Endocrinologist,Antibiotics
Typhoid,Bacterial,"Dizziness, Cough, Fatigue, Shortness of breath",Cardiologist,"Antibiotics, Inhaler"
Asthma,Autoimmune,"Runny nose, Vomiting, Fatigue, Cough",Endocrinologist,"Antihistamines, Antibiotics"
Asthma,Lifestyle,"Shortness of breath, Nausea",Dermatologist,Inhaler
Diabetes,Autoimmune,"Rash, Runny nose, Headache, Shortness of breath",Orthopedist,"Painkillers, Lifestyle changes"
Migraine,Viral,"Vomiting, Fever, Runny nose",Orthopedist,"Inhaler, Insulin"
Diabetes,Bacterial,"Headache, Fever",Neurologist,"Painkillers, Paracetamol"
Asthma,Bacterial,"Shortness of breath, Joint pain, Runny nose, Dizziness",Pulmonologist,"Paracetamol, Rest"
Cold,Autoimmune,"Fatigue, Runny nose",Orthopedist,Paracetamol
